Designator,Mid X,Mid Y,Rotation,Layer
TP11,91.9,5.0,0.0,bottom
TP12,88.2,5.0,0.0,bottom
TP13,49.4,31.5,90.0,top
TP14,44.8,31.5,90.0,top
TP2,22.8,7.3,90.0,top
TP3,48.7,10.6,0.0,top
TP4,52.4,10.6,0.0,top
TP5,22.8,3.3,0.0,top
TP6,16.5,15.4,0.0,top
TP7,12.9,15.5,0.0,top
TP8,42.1,29.2,0.0,top
TP9,47.3,26.1,0.0,top
U1,109.0,55.0,270.0,top
U10,59.7,11.3,270.0,top
U11,95.4,39.8,270.0,top
U12,42.1,11.575001,90.0,top
U2,39.8,39.6,270.0,top
U3,99.496,13.479,270.0,top
U4,78.3,13.7,90.0,top
U5,9.637499,50.2,270.0,top
U6,99.5,44.2,180.0,top
U7,22.7,46.6,180.0,top
U8,22.7,38.9,180.0,top
U9,35.3,26.5,270.0,top
Y1,27.8,30.1,0.0,top
